Loading python/3.11.6--gcc--8.5.0
  Loading requirement: bzip2/1.0.8-gp5wcz5 libmd/1.0.4-wja3f5q
    libbsd/0.11.7-cgxjopl expat/2.5.0-bptl3xw ncurses/6.4-asx3jea
    readline/8.2-nyw6mp6 gdbm/1.23-fs6otck libiconv/1.17-d7yvx2s
    xz/5.4.1-hubmwr5 zlib-ng/2.1.4-6htiapk libxml2/2.10.3-5eeeokp
    pigz/2.7-bopr5vp zstd/1.5.5-gawytfl tar/1.34-amqus5s gettext/0.22.3-2g7elif
    libffi/3.4.4-6r7brdq libxcrypt/4.4.35-ss2rzin sqlite/3.43.2
    util-linux-uuid/2.38.1-jkdi7kv
tokens per iteration will be: 524,288
Training DataLoader: total number of tokens: 5000000000 across 50 files
Validation DataLoader: total number of tokens: 100000000 across 1 files
Initializing a new model from scratch
num decayed parameter tensors: 51, with 193,658,880 parameters
num non-decayed parameter tensors: 109, with 271,488 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: val loss 10.8264
iter 123: loss 7.1413, time 1759.62ms, lr 0.0029988802600034318, norm:  0.4190, tok/sec: 297954.7641368149
iter 124: loss 7.1519, time 1759.64ms, lr 0.0029988619811481313, norm:  0.3345, tok/sec: 297951.0904097888
step 125: val loss 7.1250
saving checkpoint to out_ngpt_test
iter 125: loss 7.1437, time 27090.58ms, lr 0.0029988435543610845, norm:  0.5325, tok/sec: 19353.147004941195
iter 126: loss 7.2220, time 1757.38ms, lr 0.0029988249796441095, norm:  0.3259, tok/sec: 298334.8985532335
iter 127: loss 7.1409, time 1758.01ms, lr 0.002998806256999039, norm:  0.6516, tok/sec: 298228.1658065969
iter 128: loss 7.0315, time 1759.13ms, lr 0.0029987873864277216, norm:  0.5001, tok/sec: 298037.8710850077
iter 129: loss 7.0303, time 1759.15ms, lr 0.00299876836793202, norm:  1.0449, tok/sec: 298035.1243422188
iter 130: loss 7.5693, time 1759.32ms, lr 0.00299874920151381, norm:  0.6247, tok/sec: 298005.27697556163
iter 131: loss 7.1843, time 1759.32ms, lr 0.002998729887174985, norm:  0.6053, tok/sec: 298006.851991631
iter 132: loss 7.1662, time 1759.94ms, lr 0.0029987104249174497, norm:  0.6392, tok/sec: 297901.76627896045
iter 133: loss 7.1967, time 1759.55ms, lr 0.002998690814743126, norm:  0.6148, tok/sec: 297967.0778386382
iter 134: loss 7.0488, time 1759.38ms, lr 0.0029986710566539485, norm:  0.4590, tok/sec: 297995.1003499745
iter 135: loss 7.0355, time 1759.54ms, lr 0.0029986511506518675, norm:  0.3749, tok/sec: 297968.127578332
iter 136: loss 6.9975, time 1759.77ms, lr 0.002998631096738848, norm:  0.4698, tok/sec: 297930.50306666014
iter 137: loss 7.0064, time 1759.97ms, lr 0.0029986108949168694, norm:  0.5317, tok/sec: 297895.914663138
iter 138: loss 7.0123, time 1760.15ms, lr 0.002998590545187925, norm:  0.3322, tok/sec: 297864.72337640385
iter 139: loss 7.2102, time 1759.49ms, lr 0.002998570047554023, norm:  0.3013, tok/sec: 297977.3736820332
iter 140: loss 7.2108, time 1759.70ms, lr 0.0029985494020171874, norm:  0.4011, tok/sec: 297941.5229964661
iter 141: loss 7.2046, time 1758.97ms, lr 0.002998528608579455, norm:  0.3439, tok/sec: 298064.89688635943
iter 142: loss 7.2026, time 1759.92ms, lr 0.0029985076672428782, norm:  0.3241, tok/sec: 297904.51056418644
