Loading python/3.11.6--gcc--8.5.0
  Loading requirement: bzip2/1.0.8-gp5wcz5 libmd/1.0.4-wja3f5q
    libbsd/0.11.7-cgxjopl expat/2.5.0-bptl3xw ncurses/6.4-asx3jea
    readline/8.2-nyw6mp6 gdbm/1.23-fs6otck libiconv/1.17-d7yvx2s
    xz/5.4.1-hubmwr5 zlib-ng/2.1.4-6htiapk libxml2/2.10.3-5eeeokp
    pigz/2.7-bopr5vp zstd/1.5.5-gawytfl tar/1.34-amqus5s gettext/0.22.3-2g7elif
    libffi/3.4.4-6r7brdq libxcrypt/4.4.35-ss2rzin sqlite/3.43.2
    util-linux-uuid/2.38.1-jkdi7kv
tokens per iteration will be: 524,288
Training DataLoader: total number of tokens: 5000000000 across 50 files
Validation DataLoader: total number of tokens: 100000000 across 1 files
Initializing a new model from scratch
num decayed parameter tensors: 51, with 193,658,880 parameters
num non-decayed parameter tensors: 98, with 158,208 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: val loss 10.9773
iter 117: loss 7.0484, time 1533.78ms, lr 0.0007065868263473054, norm:  0.5067, tok/sec: 341827.19948118675
iter 118: loss 7.1292, time 1532.93ms, lr 0.0007125748502994012, norm:  0.2988, tok/sec: 342016.2000352122
iter 119: loss 6.8840, time 1533.37ms, lr 0.000718562874251497, norm:  0.3017, tok/sec: 341918.1913872667
iter 120: loss 7.1894, time 1532.94ms, lr 0.0007245508982035928, norm:  0.3124, tok/sec: 342014.1786710456
iter 121: loss 6.8816, time 1533.03ms, lr 0.0007305389221556886, norm:  0.3042, tok/sec: 341995.402403647
iter 122: loss 7.0051, time 1533.54ms, lr 0.0007365269461077844, norm:  0.3230, tok/sec: 341881.5655727816
iter 123: loss 7.0452, time 1533.22ms, lr 0.0007425149700598802, norm:  0.4819, tok/sec: 341952.3258424433
iter 124: loss 7.1055, time 1533.00ms, lr 0.0007485029940119761, norm:  1.1741, tok/sec: 342000.8276288955
step 125: val loss 7.0699
saving checkpoint to out_gpt_test
iter 125: loss 7.0922, time 24140.19ms, lr 0.0007544910179640719, norm:  0.8835, tok/sec: 21718.474282077448
iter 126: loss 7.1848, time 1533.93ms, lr 0.0007604790419161677, norm:  1.0643, tok/sec: 341793.99312378064
iter 127: loss 7.1234, time 1535.36ms, lr 0.0007664670658682635, norm:  1.1496, tok/sec: 341475.9642520839
iter 128: loss 6.9786, time 1536.53ms, lr 0.0007724550898203593, norm:  0.7212, tok/sec: 341216.12167088926
iter 129: loss 6.9450, time 1536.02ms, lr 0.0007784431137724551, norm:  0.6634, tok/sec: 341329.7276347963
iter 130: loss 7.4935, time 1535.54ms, lr 0.0007844311377245509, norm:  0.7510, tok/sec: 341435.881154864
iter 131: loss 7.1020, time 1536.40ms, lr 0.0007904191616766468, norm:  0.5402, tok/sec: 341245.4560136311
iter 132: loss 7.0629, time 1537.70ms, lr 0.0007964071856287426, norm:  0.5291, tok/sec: 340955.1411587422
iter 133: loss 7.0989, time 1534.82ms, lr 0.0008023952095808384, norm:  0.4064, tok/sec: 341595.686332418
iter 134: loss 6.9456, time 1536.53ms, lr 0.0008083832335329342, norm:  0.4438, tok/sec: 341215.1686540934
iter 135: loss 6.9292, time 1537.53ms, lr 0.00081437125748503, norm:  0.4469, tok/sec: 340993.04926622915
iter 136: loss 6.8703, time 1537.82ms, lr 0.0008203592814371258, norm:  0.4134, tok/sec: 340928.86949430505
iter 137: loss 6.9189, time 1536.93ms, lr 0.0008263473053892217, norm:  0.4346, tok/sec: 341126.5084375563
iter 138: loss 6.9057, time 1536.81ms, lr 0.0008323353293413174, norm:  0.4463, tok/sec: 341153.60446178896
iter 139: loss 7.1157, time 1536.50ms, lr 0.0008383233532934132, norm:  0.4295, tok/sec: 341221.6810416353
iter 140: loss 7.1238, time 1536.06ms, lr 0.000844311377245509, norm:  0.2952, tok/sec: 341320.98602880415
iter 141: loss 7.1174, time 1536.38ms, lr 0.0008502994011976048, norm:  0.3161, tok/sec: 341249.74539251765
iter 142: loss 7.0722, time 1535.94ms, lr 0.0008562874251497006, norm:  0.3034, tok/sec: 341347.31816260534
iter 143: loss 6.7895, time 1536.91ms, lr 0.0008622754491017964, norm:  0.3492, tok/sec: 341130.6360695837
iter 144: loss 6.8690, time 1537.26ms, lr 0.0008682634730538923, norm:  0.5062, tok/sec: 341054.6084151349
iter 145: loss 6.8670, time 1537.86ms, lr 0.0008742514970059881, norm:  0.4054, tok/sec: 340921.36404807516
iter 146: loss 6.9256, time 1538.25ms, lr 0.0008802395209580839, norm:  0.3578, tok/sec: 340833.1733886348
iter 147: loss 6.9549, time 1537.63ms, lr 0.0008862275449101797, norm:  0.4270, tok/sec: 340970.4725720143
iter 148: loss 7.0627, time 1537.21ms, lr 0.0008922155688622754, norm:  0.5376, tok/sec: 341065.4523198177
iter 149: loss 7.1210, time 1537.66ms, lr 0.0008982035928143712, norm:  0.4894, tok/sec: 340965.6086640011
iter 150: loss 6.7501, time 1538.35ms, lr 0.000904191616766467, norm:  0.5082, tok/sec: 340810.8291382583
iter 151: loss 6.9111, time 1537.18ms, lr 0.000910179640718563, norm:  0.7101, tok/sec: 341071.7473905728
iter 152: loss 6.4631, time 1536.82ms, lr 0.0009161676646706587, norm:  0.7853, tok/sec: 341150.58769928553
iter 153: loss 7.0727, time 1536.05ms, lr 0.0009221556886227545, norm:  0.7722, tok/sec: 341321.19794122945
iter 154: loss 7.0115, time 1537.11ms, lr 0.0009281437125748503, norm:  0.8464, tok/sec: 341086.61314377864
iter 155: loss 7.1374, time 1537.45ms, lr 0.0009341317365269461, norm:  0.6813, tok/sec: 341011.92715789337
iter 156: loss 6.9015, time 1538.85ms, lr 0.0009401197604790419, norm:  0.5549, tok/sec: 340700.3130957835
iter 157: loss 6.8928, time 1538.46ms, lr 0.0009461077844311377, norm:  0.5923, tok/sec: 340787.8012510608
iter 158: loss 6.8420, time 1537.40ms, lr 0.0009520958083832336, norm:  0.5828, tok/sec: 341022.8212341298
iter 159: loss 6.8945, time 1536.61ms, lr 0.0009580838323353293, norm:  0.4311, tok/sec: 341198.4917218736
iter 160: loss 6.6243, time 1536.82ms, lr 0.0009640718562874251, norm:  0.3939, tok/sec: 341151.64620636863
iter 161: loss 6.8312, time 1537.25ms, lr 0.0009700598802395209, norm:  0.4322, tok/sec: 341055.2960569058
iter 162: loss 6.8265, time 1537.88ms, lr 0.0009760479041916167, norm:  0.2706, tok/sec: 340916.9243622022
iter 163: loss 6.7444, time 1538.41ms, lr 0.0009820359281437125, norm:  0.3084, tok/sec: 340799.47325449827
iter 164: loss 6.7178, time 1537.67ms, lr 0.0009880239520958084, norm:  0.2965, tok/sec: 340962.0665574483
iter 165: loss 6.8103, time 1536.75ms, lr 0.0009940119760479041, norm:  0.3061, tok/sec: 341166.5718555293
iter 166: loss 6.5687, time 1537.07ms, lr 0.001, norm:  0.4520, tok/sec: 341096.45382131793
iter 167: loss 6.9569, time 1536.68ms, lr 0.0010059880239520957, norm:  0.7317, tok/sec: 341181.92228954076
iter 168: loss 6.8871, time 1537.08ms, lr 0.0010119760479041916, norm:  0.3449, tok/sec: 341092.4328307069
iter 169: loss 6.7802, time 1538.64ms, lr 0.0010179640718562875, norm:  0.4314, tok/sec: 340747.2987349096
iter 170: loss 6.8360, time 1538.63ms, lr 0.0010239520958083832, norm:  1.1861, tok/sec: 340750.94198307826
iter 171: loss 7.2230, time 1537.65ms, lr 0.0010299401197604791, norm:  0.8715, tok/sec: 340966.0844749659
iter 172: loss 6.9230, time 1537.40ms, lr 0.0010359281437125748, norm:  0.6159, tok/sec: 341022.503921097
iter 173: loss 6.9421, time 1536.26ms, lr 0.0010419161676646707, norm:  0.7054, tok/sec: 341276.49024850375
iter 174: loss 7.0683, time 1536.97ms, lr 0.0010479041916167666, norm:  0.5224, tok/sec: 341118.941371597
iter 175: loss 6.8165, time 1538.99ms, lr 0.0010538922155688623, norm:  0.5297, tok/sec: 340670.22797584074
iter 176: loss 6.8241, time 1539.10ms, lr 0.0010598802395209582, norm:  0.5351, tok/sec: 340644.7389536384
iter 177: loss 7.1032, time 1538.76ms, lr 0.001065868263473054, norm:  0.7051, tok/sec: 340720.1088359147
iter 178: loss 6.7670, time 1537.61ms, lr 0.0010718562874251498, norm:  0.4365, tok/sec: 340976.0239409465
iter 179: loss 6.9023, time 1537.20ms, lr 0.0010778443113772455, norm:  0.4577, tok/sec: 341066.56319777155
iter 180: loss 6.8063, time 1537.14ms, lr 0.0010838323353293414, norm:  0.3670, tok/sec: 341079.68268478214
iter 181: loss 6.9133, time 1537.85ms, lr 0.0010898203592814373, norm:  0.2361, tok/sec: 340922.156861292
